train_id,train_name,route_name,station_destination_name,departure_time_utc7,color,destination_time_utc7,station_departure_name,station_departure_id,station_destination_id
1354B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,18:28:00,#E30A16,19:43:00,SAWAH BESAR,SW,BOO
1361B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,18:29:00,#E30A16,18:39:00,SAWAH BESAR,SW,JAKK
1356B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,18:32:00,#E30A16,19:48:00,SAWAH BESAR,SW,BOO
1358B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,18:37:00,#E30A16,19:53:00,SAWAH BESAR,SW,BOO
1365B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,18:40:00,#E30A16,18:52:00,SAWAH BESAR,SW,JAKK
1367B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,18:46:00,#E30A16,18:58:00,SAWAH BESAR,SW,JAKK
1360B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,18:47:00,#E30A16,20:03:00,SAWAH BESAR,SW,BOO
1520B,COMMUTER LINE BOGOR,JAKARTAKOTA-NAMBO,NAMBO,18:51:00,#E30A16,20:07:00,SAWAH BESAR,SW,NMO
1362B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,18:55:00,#E30A16,20:13:00,SAWAH BESAR,SW,BOO
1371B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,19:01:00,#E30A16,19:12:00,SAWAH BESAR,SW,JAKK
1373B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,19:05:00,#E30A16,19:16:00,SAWAH BESAR,SW,JAKK
1366B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,19:07:00,#E30A16,20:25:00,SAWAH BESAR,SW,BOO
1375B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,19:12:00,#E30A16,19:23:00,SAWAH BESAR,SW,JAKK
1368B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,19:16:00,#E30A16,20:34:00,SAWAH BESAR,SW,BOO
1377B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,19:16:00,#E30A16,19:27:00,SAWAH BESAR,SW,JAKK
1379B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,19:20:00,#E30A16,19:31:00,SAWAH BESAR,SW,JAKK
1372B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,19:27:00,#E30A16,20:44:00,SAWAH BESAR,SW,BOO
1374B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,19:34:00,#E30A16,20:49:00,SAWAH BESAR,SW,BOO
1383B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,19:34:00,#E30A16,19:45:00,SAWAH BESAR,SW,JAKK
1385B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,19:38:00,#E30A16,19:49:00,SAWAH BESAR,SW,JAKK
1376B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,19:41:00,#E30A16,20:59:00,SAWAH BESAR,SW,BOO
1378B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,19:45:00,#E30A16,21:04:00,SAWAH BESAR,SW,BOO
1387B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,19:45:00,#E30A16,19:57:00,SAWAH BESAR,SW,JAKK
1380B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,19:53:00,#E30A16,21:09:00,SAWAH BESAR,SW,BOO
1519B,COMMUTER LINE BOGOR,NAMBO-JAKARTAKOTA,JAKARTAKOTA,19:55:00,#E30A16,20:05:00,SAWAH BESAR,SW,JAKK
1389B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,19:59:00,#E30A16,20:09:00,SAWAH BESAR,SW,JAKK
1384B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,20:05:00,#E30A16,21:21:00,SAWAH BESAR,SW,BOO
1391B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,20:05:00,#E30A16,20:15:00,SAWAH BESAR,SW,JAKK
1386B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,20:09:00,#E30A16,21:25:00,SAWAH BESAR,SW,BOO
1393B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,20:11:00,#E30A16,20:23:00,SAWAH BESAR,SW,JAKK
1388B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,20:13:00,#E30A16,21:29:00,SAWAH BESAR,SW,BOO
1395B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,20:16:00,#E30A16,20:27:00,SAWAH BESAR,SW,JAKK
1397B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,20:20:00,#E30A16,20:31:00,SAWAH BESAR,SW,JAKK
1390C,COMMUTER LINE BOGOR,JAKARTAKOTA-DEPOK,DEPOK,20:21:00,#E30A16,21:09:00,SAWAH BESAR,SW,DP
1392B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,20:27:00,#E30A16,21:43:00,SAWAH BESAR,SW,BOO
1522B,COMMUTER LINE BOGOR,JAKARTAKOTA-NAMBO,NAMBO,20:31:00,#E30A16,21:49:00,SAWAH BESAR,SW,NMO
1401B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,20:35:00,#E30A16,20:45:00,SAWAH BESAR,SW,JAKK
1403B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,20:39:00,#E30A16,20:49:00,SAWAH BESAR,SW,JAKK
1394B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,20:42:00,#E30A16,21:58:00,SAWAH BESAR,SW,BOO
1396B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,20:48:00,#E30A16,22:04:00,SAWAH BESAR,SW,BOO
